year,survey,prefix,target_var,concept,units,source_var,source_label,dict_file,filename,notes,release,label_match_re
2005,Finance,F2A,academic_support_exp,Academic support expenses,USD,F2E043,Academic support-Benefits,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2005/F0405_F2_Dict/f0405_f2.xlsx,f0405_f2.xlsx,Academic support functional expense.,,academic support
2005,Finance,F2A,academic_support_exp,Academic support expenses,USD,F2E044,Academic support-Operation and maintenance of plant,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2005/F0405_F2_Dict/f0405_f2.xlsx,f0405_f2.xlsx,Academic support functional expense.,,academic support
2005,Finance,F2A,academic_support_exp,Academic support expenses,USD,F2E045,Academic support-Depreciation,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2005/F0405_F2_Dict/f0405_f2.xlsx,f0405_f2.xlsx,Academic support functional expense.,,academic support
2005,Finance,F2A,academic_support_exp,Academic support expenses,USD,F2E046,Academic support-Interest,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2005/F0405_F2_Dict/f0405_f2.xlsx,f0405_f2.xlsx,Academic support functional expense.,,academic support
2005,Finance,F2A,academic_support_exp,Academic support expenses,USD,F2E047,Academic support-All other,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2005/F0405_F2_Dict/f0405_f2.xlsx,f0405_f2.xlsx,Academic support functional expense.,,academic support
2006,Finance,F1A,academic_support_exp,Academic support expenses,USD,F1C051,Academic support - Current year total,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2006/F0506_F1A_Dict/f0506_f1a.xlsx,f0506_f1a.xlsx,Academic support functional expense.,,academic support
2006,Finance,F1A,academic_support_exp,Academic support expenses,USD,F1C052,Academic support - Salaries and wages,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2006/F0506_F1A_Dict/f0506_f1a.xlsx,f0506_f1a.xlsx,Academic support functional expense.,,academic support
2006,Finance,F1A,academic_support_exp,Academic support expenses,USD,F1C053,Academic support - Employee fringe benefits,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2006/F0506_F1A_Dict/f0506_f1a.xlsx,f0506_f1a.xlsx,Academic support functional expense.,,academic support
2006,Finance,F1A,academic_support_exp,Academic support expenses,USD,F1C054,Academic support - Depreciation,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2006/F0506_F1A_Dict/f0506_f1a.xlsx,f0506_f1a.xlsx,Academic support functional expense.,,academic support
2006,Finance,F1A,academic_support_exp,Academic support expenses,USD,F1C055,Academic support - All other,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2006/F0506_F1A_Dict/f0506_f1a.xlsx,f0506_f1a.xlsx,Academic support functional expense.,,academic support
